0000000000000000 00 0 0
11C0A8019EEFFFFF FF 1 0
FAA122076CFFE357 FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
8DADADEDEDADADED FF 0 0
